loc_pair,route,type,intersection,dist,abs_diff
02 08,02 08 driving,driving,02,0.5593011245866621,0.18208534162922702
02 08,02 08 walking,walking,02,0.37721578295743513,0
02 09,02 09 driving,driving,02,0.6039754046792015,0.23333154957826868
02 09,02 09 walking,walking,02,0.37064385510093284,0
02 10,02 10 driving,driving,02,0.7036573186670668,0.3039751195071813
02 10,02 10 walking,walking,02,0.3996821991598855,0
02 11,02 11 driving,driving,02,1.0086328417853705,0.3756098662480235
02 11,02 11 walking,walking,02,0.633022975537347,0
02 12,02 12 driving,driving,02,0.9618235206288932,0.23187345665696568
02 12,02 12 walking,walking,02,0.7299500639719275,0
02 13,02 13 driving,driving,02,0.735572168928508,0.0755215580805545
02 13,02 13 walking,walking,02,0.6600506108479535,0
02 14,02 14 driving,driving,02,0.9635146785983879,0.17599998169133424
02 14,02 14 walking,walking,02,0.7875146969070537,0
02 15,02 15 driving,driving,02,0.6828929544378113,0.040667424920561746
02 15,02 15 walking,walking,02,0.6422255295172495,0
02 16,02 16 driving,driving,02,0.6526183559888226,0.04838753375687499
02 16,02 16 walking,walking,02,0.6042308222319476,0
02 17,02 17 driving,driving,02,0.5712209657547045,0.1210787397288201
02 17,02 17 walking,walking,02,0.4501422260258844,0
02 18,02 18 driving,driving,02,0.5183695776994551,0.1299221682302868
02 18,02 18 walking,walking,02,0.38844740946916834,0
02 19,02 19 driving,driving,02,1.0374670464265527,0.25549582030571893
02 19,02 19 walking,walking,02,0.7819712261208338,0
02 20,02 20 driving,driving,02,0.7607836851140407,0.1016785445977646
02 20,02 20 walking,walking,02,0.6591051405162761,0
02 21,02 21 driving,driving,02,1.133661048680367,0.34987820474721554
02 21,02 21 walking,walking,02,0.7837828439331516,0
02 22,02 22 driving,driving,02,0.8352891661623078,0.06577630665975098
02 22,02 22 walking,walking,02,0.7695128595025568,0
02 23,02 23 driving,driving,02,0.8814743060177701,0.010021353194574645
02 23,02 23 walking,walking,02,0.8714529528231955,0
02 24,02 24 driving,driving,02,1.212151961557222,0.3396261615916071
02 24,02 24 walking,walking,02,0.872525799965615,0
02 25,02 25 driving,driving,02,0.7809481723553232,0.03251546005914008
02 25,02 25 walking,walking,02,0.7484327122961831,0
02 26,02 26 driving,driving,02,1.0937630865714536,0.3209269810726596
02 26,02 26 walking,walking,02,0.772836105498794,0
02 27,02 27 driving,driving,02,0.6284062386413838,0
02 27,02 27 walking,walking,02,0.653547465884085,0.02514122724270118
02 28,02 28 driving,driving,02,0.5040147890350372,0.037407464546595826
02 28,02 28 walking,walking,02,0.46660732448844133,0
02 29,02 29 driving,driving,02,1.2054155109764664,0.4939910917767638
02 29,02 29 walking,walking,02,0.7114244191997026,0
02 30,02 30 driving,driving,02,1.0124436881672294,0.030094190179424718
02 30,02 30 walking,walking,02,0.9823494979878047,0
02 31,02 31 driving,driving,02,1.2171087970705767,0.3175776313007561
02 31,02 31 walking,walking,02,0.8995311657698206,0
02 32,02 32 driving,driving,02,1.3037507765926328,0.36327574591454537
02 32,02 32 walking,walking,02,0.9404750306780875,0
03 01,03 01 driving,driving,03,0.6626855444741975,0.05446725944257802
03 01,03 01 walking,walking,03,0.6082182850316195,0
03 02,03 02 driving,driving,03,0.710282890867406,0.05645298803468368
03 02,03 02 walking,walking,03,0.6538299028327224,0
03 03,03 03 driving,driving,03,1.013568915141701,0.26259352773442746
03 03,03 03 walking,walking,03,0.7509753874072737,0
03 04,03 04 driving,driving,03,1.007156718710877,0.24753565731332028
03 04,03 04 walking,walking,03,0.7596210613975567,0
03 05,03 05 driving,driving,03,1.0860817001740226,0.3885765215841974
03 05,03 05 walking,walking,03,0.6975051785898252,0
03 06,03 06 driving,driving,03,0.7604340073550269,0.12027724224202019
03 06,03 06 walking,walking,03,0.6401567651130067,0
03 07,03 07 driving,driving,03,0.7397002829069025,0.20645074716615297
03 07,03 07 walking,walking,03,0.5332495357407495,0
03 08,03 08 driving,driving,03,0.6447525963729678,0.18208863619698168
03 08,03 08 walking,walking,03,0.4626639601759861,0
03 09,03 09 driving,driving,03,0.6538746679174844,0.19940324969062695
03 09,03 09 walking,walking,03,0.45447141822685744,0
03 10,03 10 driving,driving,03,0.7891157905057476,0.38669252151215355
03 10,03 10 walking,walking,03,0.4024232689935941,0
03 11,03 11 driving,driving,03,1.0940145480393209,0.45112843092199006
03 11,03 11 walking,walking,03,0.6428861171173308,0
03 12,03 12 driving,driving,03,1.0472572914380123,0.35995500690819193
03 12,03 12 walking,walking,03,0.6873022845298203,0
03 13,03 13 driving,driving,03,0.6517527388307411,0.03450680253014726
03 13,03 13 walking,walking,03,0.6172459363005939,0
03 14,03 14 driving,driving,03,1.0489388663709163,0.2696687419287601
03 14,03 14 walking,walking,03,0.7792701244421562,0
03 15,03 15 driving,driving,03,0.5990637839362593,0
03 15,03 15 walking,walking,03,0.6005454104499315,0.0014816265136722295
03 16,03 16 driving,driving,03,0.568787109727059,0.008289123250624364
03 16,03 16 walking,walking,03,0.5604979864764347,0
03 17,03 17 driving,driving,03,0.48739250705417436,0.08006396342122374
03 17,03 17 walking,walking,03,0.4073285436329506,0
03 18,03 18 driving,driving,03,0.434541118998925,0.1008950888711404
03 18,03 18 walking,walking,03,0.3336460301277846,0
03 19,03 19 driving,driving,03,1.122840947759022,0.25975486523571245
03 19,03 19 walking,walking,03,0.8630860825233095,0
03 20,03 20 driving,driving,03,0.8462440618376212,0.10332786711427022
03 20,03 20 walking,walking,03,0.742916194723351,0
03 21,03 21 driving,driving,03,1.0498426601121111,0.23575062199277885
03 21,03 21 walking,walking,03,0.8140920381193323,0
03 22,03 22 driving,driving,03,0.9207486042630691,0.12092655057433166
03 22,03 22 walking,walking,03,0.7998220536887375,0
03 23,03 23 driving,driving,03,0.9667606166765479,0.06551410081744147
03 23,03 23 walking,walking,03,0.9012465158591064,0
03 24,03 24 driving,driving,03,1.1282427138248,0.22539761347539278
03 24,03 24 walking,walking,03,0.9028451003494071,0
03 25,03 25 driving,driving,03,0.6971274104900048,0
03 25,03 25 walking,walking,03,0.6986063689631766,0.0014789584731718097
03 26,03 26 driving,driving,03,1.0099346278709236,0.2835698309434852
03 26,03 26 walking,walking,03,0.7263647969274384,0
03 27,03 27 driving,driving,03,0.5445761340284697,0
03 27,03 27 walking,walking,03,0.6107825789928567,0.06620644496438699
03 28,03 28 driving,driving,03,0.41954022260490376,0.0049709751850053885
03 28,03 28 walking,walking,03,0.41456924741989837,0
03 29,03 29 driving,driving,03,1.1215870522759361,0.4566339416475893
03 29,03 29 walking,walking,03,0.6649531106283468,0
03 30,03 30 driving,driving,03,0.9286252995989734,0
03 30,03 30 walking,walking,03,0.9397121662138782,0.011086866614904767
03 31,03 31 driving,driving,03,1.302593197878145,0.4063026283121526
03 31,03 31 walking,walking,03,0.8962905695659925,0
03 32,03 32 driving,driving,03,1.389307500821731,0.49161166504160647
03 32,03 32 walking,walking,03,0.8976958357801246,0
04 01,04 01 driving,driving,04,0.7479345091465391,0.07150720184053982
04 01,04 01 walking,walking,04,0.6764273073059993,0
04 02,04 02 driving,driving,04,0.7955301490485316,0.07349208984414823
04 02,04 02 walking,walking,04,0.7220380592043834,0
04 03,04 03 driving,driving,04,1.0988281944540188,0.2796097281731307
04 03,04 03 walking,walking,04,0.8192184662808881,0
04 04,04 04 driving,driving,04,1.0924017453877577,0.2642821705966081
04 04,04 04 walking,walking,04,0.8281195747911496,0
04 05,04 05 driving,driving,04,1.1713434964847727,0.40562550978011724
04 05,04 05 walking,walking,04,0.7657179867046554,0
04 06,04 06 driving,driving,04,0.845772721902412,0.1373107182457317
04 06,04 06 walking,walking,04,0.7084620036566803,0
04 07,04 07 driving,driving,04,0.8249510461273901,0.20737733726962815
04 07,04 07 walking,walking,04,0.617573708857762,0
04 08,04 08 driving,driving,04,0.7310472297754435,0.1820816069239054
04 08,04 08 walking,walking,04,0.548965622851538,0
04 09,04 09 driving,driving,04,0.5767308057412531,0.03595772483884374
04 09,04 09 walking,walking,04,0.5407730809024094,0
04 10,04 10 driving,driving,04,0.8743643219323557,0.4037440528051694
04 10,04 10 walking,walking,04,0.4706202691271863,0
04 11,04 11 driving,driving,04,1.146360481830107,0.4353558131755775
04 11,04 11 walking,walking,04,0.7110046686545295,0
04 12,04 12 driving,driving,04,1.1325138025803274,0.37697764877923023
04 12,04 12 walking,walking,04,0.7555361538010972,0
04 13,04 13 driving,driving,04,0.5745574098803073,0
04 13,04 13 walking,walking,04,0.5782334926932937,0.00367608281298637
04 14,04 14 driving,driving,04,1.134204120427641,0.28932361151524677
04 14,04 14 walking,walking,04,0.8448805089123942,0
04 15,04 15 driving,driving,04,0.5218770257640865,0
04 15,04 15 walking,walking,04,0.5226752181469213,7.981923828348503e-4
04 16,04 16 driving,driving,04,0.49160032538610243,0
04 16,04 16 walking,walking,04,0.5344204018261027,0.0428200764400003
04 17,04 17 driving,driving,04,0.4101891969736952,0
04 17,04 17 walking,walking,04,0.42742709320730593,0.017237896233610717
04 18,04 18 driving,driving,04,0.3571471121253367,0.003861590659772207
04 18,04 18 walking,walking,04,0.35328552146556447,0
04 19,04 19 driving,driving,04,1.2081289814088707,0.2768580386429599
04 19,04 19 walking,walking,04,0.9312709427659108,0
04 20,04 20 driving,driving,04,0.9314908604194254,0.12242170994665758
04 20,04 20 walking,walking,04,0.8090691504727678,0
04 21,04 21 driving,driving,04,0.9729612321117586,0.09059550275753026
04 21,04 21 walking,walking,04,0.8823657293542283,0
04 22,04 22 driving,driving,04,1.0059963431126455,0.137895836049295
04 22,04 22 walking,walking,04,0.8681005070633505,0
04 23,04 23 driving,driving,04,1.0523213340141515,0.08275241741930506
04 23,04 23 walking,walking,04,0.9695689165948465,0
04 24,04 24 driving,driving,04,1.0514566007912716,0.08072201030158299
04 24,04 24 walking,walking,04,0.9707345904896886,0
04 25,04 25 driving,driving,04,0.6199327853828996,0
04 25,04 25 walking,walking,04,0.6207304360644332,7.976506815335904e-4
04 26,04 26 driving,driving,04,0.9328369461297683,0.28444226596493194
04 26,04 26 walking,walking,04,0.6483946801648364,0
04 27,04 27 driving,driving,04,0.4673894099109955,0
04 27,04 27 walking,walking,04,0.5269943509325469,0.059604941021551394
04 28,04 28 driving,driving,04,0.342939972365174,0.006039585549220294
04 28,04 28 walking,walking,04,0.3369003868159537,0
04 29,04 29 driving,driving,04,1.0443901202686408,0.4575471995076459
04 29,04 29 walking,walking,04,0.5868429207609949,0
04 30,04 30 driving,driving,04,0.8509651814814072,0
04 30,04 30 walking,walking,04,0.8643182970388201,0.01335311555741292
04 31,04 31 driving,driving,04,1.387734263530293,0.4646560286863357
04 31,04 31 walking,walking,04,0.9230782348439572,0
04 32,04 32 driving,driving,04,1.4740255188038984,0.5493090689443032
04 32,04 32 walking,walking,04,0.9247164498595952,0
05 01,05 01 driving,driving,05,0.8158100031883468,0.07183008171852545
05 01,05 01 walking,walking,05,0.7439799214698214,0
05 02,05 02 driving,driving,05,0.8634073495815554,0.07381581031063111
05 02,05 02 walking,walking,05,0.7895915392709243,0
05 03,05 03 driving,driving,05,1.1666933738558505,0.27993553700976437
05 03,05 03 walking,walking,05,0.8867578368460861,0
05 04,05 04 driving,driving,05,1.1602811774250263,0.26480059043904347
05 04,05 04 walking,walking,05,0.8954805869859829,0
05 05,05 05 driving,driving,05,1.239206158888172,0.40589234684735
05 05,05 05 walking,walking,05,0.833313812040822,0
05 06,05 06 driving,driving,05,0.9133928549710486,0.1377069246150785
05 06,05 06 walking,walking,05,0.7756859303559701,0
05 07,05 07 driving,driving,05,0.8928247416210519,0.20767989913471763
05 07,05 07 walking,walking,05,0.6851448424863342,0
05 08,05 08 driving,driving,05,0.798811648107823,0.18206423366755764
05 08,05 08 walking,walking,05,0.6167474144402654,0
05 09,05 09 driving,driving,05,0.6445625634531488,0.036010695886501964
05 09,05 09 walking,walking,05,0.6085518675666468,0
05 10,05 10 driving,driving,05,0.9422402492198969,0.404049125065045
05 10,05 10 walking,walking,05,0.5381911241548519,0
05 11,05 11 driving,driving,05,1.2139404209305849,0.4352955505022442
05 11,05 11 walking,walking,05,0.7786448704283406,0
05 12,05 12 driving,driving,05,1.2003817501521616,0.377477607416584
05 12,05 12 walking,walking,05,0.8229041427355777,0
05 13,05 13 driving,driving,05,0.6424406343664056,0
05 13,05 13 walking,walking,05,0.6457714550113811,0.003330820644975474
05 14,05 14 driving,driving,05,1.2020633250850656,0.2895359848689739
05 14,05 14 walking,walking,05,0.9125273402160917,0
05 15,05 15 driving,driving,05,0.5897516794719236,0
05 15,05 15 walking,walking,05,0.59028260898321006,5.309295112864154e-4
05 16,05 16 driving,driving,05,0.5594750052627234,0
05 16,05 16 walking,walking,05,0.6026445033902029,0.0431694981274795
05 17,05 17 driving,driving,05,0.47808040258983875,0
05 17,05 17 walking,walking,05,0.49503517427729143,0.016954771687452685
05 18,05 18 driving,driving,05,0.42522901453458944,0.0042907996036741225
05 18,05 18 walking,walking,05,0.4209382149309153,0
05 19,05 19 driving,driving,05,1.2759654064731714,0.27712707129598557
05 19,05 19 walking,walking,05,0.9988383351771858,0
05 20,05 20 driving,driving,05,0.9993685205517706,0.12275412524477403
05 20,05 20 walking,walking,05,0.8766143953069966,0
05 21,05 21 driving,driving,05,1.0405305556477755,0.09062103759204487
05 21,05 21 walking,walking,05,0.9499095180557307,0
05 22,05 22 driving,driving,05,1.0738723981497345,0.13824262428253153
05 22,05 22 walking,walking,05,0.9356297738672029,0
05 23,05 23 driving,driving,05,1.119440251725395,0.08299518156024321
05 23,05 23 walking,walking,05,1.0364450701651517,0
05 24,05 24 driving,driving,05,1.1189306093604645,0.08104783004441662
05 24,05 24 walking,walking,05,1.0378827793160479,0
05 25,05 25 driving,driving,05,0.6878153060256692,0
05 25,05 25 walking,walking,05,0.6883435674964552,5.282614707859956e-4
05 26,05 26 driving,driving,05,0.8743711136588309,0.30293156523632936
05 26,05 26 walking,walking,05,0.5714395484225016,0
05 27,05 27 driving,driving,05,0.5352640295641341,0
05 27,05 27 walking,walking,05,0.5804688077421756,0.04520477817804147
05 28,05 28 driving,driving,05,0.4102281181405682,0.07364844612086197
05 28,05 28 walking,walking,05,0.33657967201970623,0
05 29,05 29 driving,driving,05,0.9859242877977032,0.4113268279059715
05 29,05 29 walking,walking,05,0.5745974598917317,0
05 30,05 30 driving,driving,05,0.9193131951346378,0
05 30,05 30 walking,walking,05,0.9322674392882201,0.012954244153582262
05 31,05 31 driving,driving,05,1.4557175210628446,0.4648731396978262
05 31,05 31 walking,walking,05,0.9908443813650184,0
05 32,05 32 driving,driving,05,1.5425790386635934,0.5501298926476924
05 32,05 32 walking,walking,05,0.992449146015901,0
06 01,06 01 driving,driving,06,0.8526693861565888,0.13323867958547375
06 01,06 01 walking,walking,06,0.7194307065711151,0
06 02,06 02 driving,driving,06,0.9002667325497974,0.13522527408029827
06 02,06 02 walking,walking,06,0.7650414584694991,0
06 03,06 03 driving,driving,06,1.203553035426504,0.3813227069275129
06 03,06 03 walking,walking,06,0.8222303284989911,0
06 04,06 04 driving,driving,06,1.1971408389956797,0.3248689585886493
06 04,06 04 walking,walking,06,0.8722718804070304,0
06 05,06 05 driving,driving,06,1.4805989712652614,0.7118126675715343
06 05,06 05 walking,walking,06,0.7687863036937271,0
06 06,06 06 driving,driving,06,0.950484709134529,0.1990193062127329
06 06,06 06 walking,walking,06,0.7514654029217961,0
06 07,06 07 driving,driving,06,0.9296841245892938,0.24976454186971908
