lat,lon,loc_pair,route,type,intersection,centroid,ord
39.94834899902344,-75.1982650756836,17 29,17 29 driving,driving,17,29,47
39.94853973388672,-75.19786834716797,17 29,17 29 driving,driving,17,29,48
39.948699951171875,-75.19794464111328,17 29,17 29 driving,driving,17,29,49
39.94875717163086,-75.19795989990234,17 29,17 29 driving,driving,17,29,50
39.94881820678711,-75.19793701171875,17 29,17 29 driving,driving,17,29,51
39.94894790649414,-75.19783020019531,17 29,17 29 driving,driving,17,29,52
39.94908905029297,-75.19768524169922,17 29,17 29 driving,driving,17,29,53
39.949249267578125,-75.19757843017578,17 29,17 29 driving,driving,17,29,54
39.94947052001953,-75.19752502441406,17 29,17 29 driving,driving,17,29,55
39.95642852783203,-75.1893310546875,18 29,18 29 driving,driving,18,29,1
39.957427978515625,-75.189117431640625,18 29,18 29 driving,driving,18,29,2
39.95760726928711,-75.18907928466797,18 29,18 29 driving,driving,18,29,3
39.95766067504883,-75.18946838378906,18 29,18 29 driving,driving,18,29,4
39.957679748535156,-75.18975067138672,18 29,18 29 driving,driving,18,29,5
39.95777893066406,-75.19050598144531,18 29,18 29 driving,driving,18,29,6
39.957847595214844,-75.1910400390625,18 29,18 29 driving,driving,18,29,7
39.95724868774414,-75.19115447998047,18 29,18 29 driving,driving,18,29,8
39.956607818603516,-75.1913070678711,18 29,18 29 driving,driving,18,29,9
39.95595932006836,-75.1914291381836,18 29,18 29 driving,driving,18,29,10
39.95534896850586,-75.1915512084961,18 29,18 29 driving,driving,18,29,11
39.955078125,-75.1916275024414,18 29,18 29 driving,driving,18,29,12
39.95446014404297,-75.19175720214844,18 29,18 29 driving,driving,18,29,13
39.95356750488281,-75.19194793701172,18 29,18 29 driving,driving,18,29,14
39.953208923339844,-75.1920166015625,18 29,18 29 driving,driving,18,29,15
39.95246887207031,-75.1921615600586,18 29,18 29 driving,driving,18,29,16
39.950439453125,-75.19258880615234,18 29,18 29 driving,driving,18,29,17
39.95024871826172,-75.192626953125,18 29,18 29 driving,driving,18,29,18
39.9499397277832,-75.19261169433594,18 29,18 29 driving,driving,18,29,19
39.94976043701172,-75.19263458251953,18 29,18 29 driving,driving,18,29,20
39.94955062866211,-75.1927261352539,18 29,18 29 driving,driving,18,29,21
39.949317932128906,-75.19282531738281,18 29,18 29 driving,driving,18,29,22
39.94886016845703,-75.192901611328125,18 29,18 29 driving,driving,18,29,23
39.94833755493164,-75.19303131103516,18 29,18 29 driving,driving,18,29,24
39.94820022583008,-75.19310760498047,18 29,18 29 driving,driving,18,29,25
39.948089599609375,-75.1932144165039,18 29,18 29 driving,driving,18,29,26
39.94780731201172,-75.19380950927734,18 29,18 29 driving,driving,18,29,27
39.94683074951172,-75.19596862792969,18 29,18 29 driving,driving,18,29,28
39.94660949707031,-75.19648742675781,18 29,18 29 driving,driving,18,29,29
39.94643783569336,-75.196929931640625,18 29,18 29 driving,driving,18,29,30
39.9463005065918,-75.19725036621094,18 29,18 29 driving,driving,18,29,31
39.946170806884766,-75.19757080078125,18 29,18 29 driving,driving,18,29,32
39.94614028930664,-75.19786071777344,18 29,18 29 driving,driving,18,29,33
39.94615936279297,-75.19807434082031,18 29,18 29 driving,driving,18,29,34
39.946197509765625,-75.19819641113281,18 29,18 29 driving,driving,18,29,35
39.946258544921875,-75.19829559326172,18 29,18 29 driving,driving,18,29,36
39.9463996887207,-75.1983871459961,18 29,18 29 driving,driving,18,29,37
39.94676971435547,-75.19841003417969,18 29,18 29 driving,driving,18,29,38
39.947059631347656,-75.198455810546875,18 29,18 29 driving,driving,18,29,39
39.94757080078125,-75.1985855102539,18 29,18 29 driving,driving,18,29,40
39.947959899902344,-75.19873046875,18 29,18 29 driving,driving,18,29,41
39.948158264160156,-75.19880676269531,18 29,18 29 driving,driving,18,29,42
39.94834899902344,-75.1982650756836,18 29,18 29 driving,driving,18,29,43
39.94853973388672,-75.19786834716797,18 29,18 29 driving,driving,18,29,44
39.94873809814453,-75.19795989990234,18 29,18 29 driving,driving,18,29,45
39.948787689208984,-75.19794464111328,18 29,18 29 driving,driving,18,29,46
39.94886779785156,-75.1978988647461,18 29,18 29 driving,driving,18,29,47
39.949039459228516,-75.1977310180664,18 29,18 29 driving,driving,18,29,48
39.949180603027344,-75.1976318359375,18 29,18 29 driving,driving,18,29,49
39.94929885864258,-75.19755554199219,18 29,18 29 driving,driving,18,29,50
39.94947052001953,-75.19752502441406,18 29,18 29 driving,driving,18,29,51
39.95594024658203,-75.20446014404297,19 29,19 29 driving,driving,19,29,1
39.95664978027344,-75.20430755615234,19 29,19 29 driving,driving,19,29,2
39.95657730102539,-75.20369720458984,19 29,19 29 driving,driving,19,29,3
39.956390380859375,-75.202117919921875,19 29,19 29 driving,driving,19,29,4
39.956390380859375,-75.20209503173828,19 29,19 29 driving,driving,19,29,5
39.95563888549805,-75.20225524902344,19 29,19 29 driving,driving,19,29,6
39.95555877685547,-75.20169830322266,19 29,19 29 driving,driving,19,29,7
39.95549011230469,-75.20112609863281,19 29,19 29 driving,driving,19,29,8
39.955448150634766,-75.20069885253906,19 29,19 29 driving,driving,19,29,9
39.955230712890625,-75.19898986816406,19 29,19 29 driving,driving,19,29,10
39.955169677734375,-75.19844818115234,19 29,19 29 driving,driving,19,29,11
39.9545783996582,-75.198577880859375,19 29,19 29 driving,driving,19,29,12
39.953887939453125,-75.19873046875,19 29,19 29 driving,driving,19,29,13
39.95261764526367,-75.19898986816406,19 29,19 29 driving,driving,19,29,14
39.951438903808594,-75.1992416381836,19 29,19 29 driving,driving,19,29,15
39.9510383605957,-75.19932556152344,19 29,19 29 driving,driving,19,29,16
39.95042037963867,-75.19950103759766,19 29,19 29 driving,driving,19,29,17
39.94987869262695,-75.19970703125,19 29,19 29 driving,driving,19,29,18
39.94968795776367,-75.1997299194336,19 29,19 29 driving,driving,19,29,19
39.94940948486328,-75.19969177246094,19 29,19 29 driving,driving,19,29,20
39.94923782348633,-75.1996078491211,19 29,19 29 driving,driving,19,29,21
39.94894790649414,-75.19937896728516,19 29,19 29 driving,driving,19,29,22
39.948638916015625,-75.19918060302734,19 29,19 29 driving,driving,19,29,23
39.94825744628906,-75.19895935058594,19 29,19 29 driving,driving,19,29,24
39.94783020019531,-75.19876861572266,19 29,19 29 driving,driving,19,29,25
39.94770812988281,-75.19871520996094,19 29,19 29 driving,driving,19,29,26
39.94772720336914,-75.198638916015625,19 29,19 29 driving,driving,19,29,27
39.94778823852539,-75.19837951660156,19 29,19 29 driving,driving,19,29,28
39.94786071777344,-75.19812774658203,19 29,19 29 driving,driving,19,29,29
39.947998046875,-75.19780731201172,19 29,19 29 driving,driving,19,29,30
39.9491081237793,-75.19536590576172,19 29,19 29 driving,driving,19,29,31
39.94915008544922,-75.19530487060547,19 29,19 29 driving,driving,19,29,32
39.949249267578125,-75.19525146484375,19 29,19 29 driving,driving,19,29,33
39.94929885864258,-75.19548797607422,19 29,19 29 driving,driving,19,29,34
39.94935989379883,-75.19599914550781,19 29,19 29 driving,driving,19,29,35
39.9493408203125,-75.19609832763672,19 29,19 29 driving,driving,19,29,36
39.948997497558594,-75.19683074951172,19 29,19 29 driving,driving,19,29,37
39.94866943359375,-75.19757080078125,19 29,19 29 driving,driving,19,29,38
39.94853973388672,-75.19786834716797,19 29,19 29 driving,driving,19,29,39
39.948699951171875,-75.19794464111328,19 29,19 29 driving,driving,19,29,40
39.94875717163086,-75.19795989990234,19 29,19 29 driving,driving,19,29,41
39.94881820678711,-75.19793701171875,19 29,19 29 driving,driving,19,29,42
39.94908905029297,-75.19768524169922,19 29,19 29 driving,driving,19,29,43
39.949249267578125,-75.19757843017578,19 29,19 29 driving,driving,19,29,44
39.94934844970703,-75.19754791259766,19 29,19 29 driving,driving,19,29,45
39.94947052001953,-75.19752502441406,19 29,19 29 driving,driving,19,29,46
39.955299377441406,-75.20491027832031,01 30,01 30 driving,driving,01,30,1
39.952430725097656,-75.20550537109375,01 30,01 30 driving,driving,01,30,2
39.95208740234375,-75.205596923828125,01 30,01 30 driving,driving,01,30,3
39.951759338378906,-75.20307159423828,01 30,01 30 driving,driving,01,30,4
39.95155715942383,-75.2015380859375,01 30,01 30 driving,driving,01,30,5
39.95134735107422,-75.19989013671875,01 30,01 30 driving,driving,01,30,6
39.95124053955078,-75.1989517211914,01 30,01 30 driving,driving,01,30,7
39.950809478759766,-75.1954345703125,01 30,01 30 driving,driving,01,30,8
39.9505500793457,-75.193359375,01 30,01 30 driving,driving,01,30,9
39.95035934448242,-75.191925048828125,01 30,01 30 driving,driving,01,30,10
39.9503288269043,-75.19171905517578,01 30,01 30 driving,driving,01,30,11
39.95023727416992,-75.191558837890625,01 30,01 30 driving,driving,01,30,12
39.94968032836914,-75.19078063964844,01 30,01 30 driving,driving,01,30,13
39.94947814941406,-75.19102478027344,01 30,01 30 driving,driving,01,30,14
39.949398040771484,-75.19110870361328,01 30,01 30 driving,driving,01,30,15
39.94935989379883,-75.19111633300781,01 30,01 30 driving,driving,01,30,16
39.94926834106445,-75.19107818603516,01 30,01 30 driving,driving,01,30,17
39.954437255859375,-75.20508575439453,02 30,02 30 driving,driving,02,30,1
39.953277587890625,-75.20532989501953,02 30,02 30 driving,driving,02,30,2
39.952430725097656,-75.20550537109375,02 30,02 30 driving,driving,02,30,3
39.95208740234375,-75.205596923828125,02 30,02 30 driving,driving,02,30,4
39.951759338378906,-75.20307159423828,02 30,02 30 driving,driving,02,30,5
39.951717376708984,-75.20288848876953,02 30,02 30 driving,driving,02,30,6
39.95145797729492,-75.20074462890625,02 30,02 30 driving,driving,02,30,7
39.95127868652344,-75.1992416381836,02 30,02 30 driving,driving,02,30,8
39.95103073120117,-75.197265625,02 30,02 30 driving,driving,02,30,9
39.950767517089844,-75.19512176513672,02 30,02 30 driving,driving,02,30,10
39.950439453125,-75.19258880615234,02 30,02 30 driving,driving,02,30,11
39.950347900390625,-75.19181823730469,02 30,02 30 driving,driving,02,30,12
39.95030975341797,-75.19165802001953,02 30,02 30 driving,driving,02,30,13
39.94968032836914,-75.19078063964844,02 30,02 30 driving,driving,02,30,14
39.949398040771484,-75.19110870361328,02 30,02 30 driving,driving,02,30,15
39.9493293762207,-75.19111633300781,02 30,02 30 driving,driving,02,30,16
39.94926834106445,-75.19107818603516,02 30,02 30 driving,driving,02,30,17
39.95323944091797,-75.20533752441406,03 30,03 30 driving,driving,03,30,1
39.952430725097656,-75.20550537109375,03 30,03 30 driving,driving,03,30,2
39.95208740234375,-75.205596923828125,03 30,03 30 driving,driving,03,30,3
39.951759338378906,-75.20307159423828,03 30,03 30 driving,driving,03,30,4
39.951717376708984,-75.20288848876953,03 30,03 30 driving,driving,03,30,5
39.95145797729492,-75.20074462890625,03 30,03 30 driving,driving,03,30,6
39.95127868652344,-75.1992416381836,03 30,03 30 driving,driving,03,30,7
39.950828552246094,-75.1957015991211,03 30,03 30 driving,driving,03,30,8
39.950767517089844,-75.19512176513672,03 30,03 30 driving,driving,03,30,9
39.950439453125,-75.19258880615234,03 30,03 30 driving,driving,03,30,10
39.950347900390625,-75.19181823730469,03 30,03 30 driving,driving,03,30,11
39.95030975341797,-75.19165802001953,03 30,03 30 driving,driving,03,30,12
39.94968032836914,-75.19078063964844,03 30,03 30 driving,driving,03,30,13
39.949398040771484,-75.19110870361328,03 30,03 30 driving,driving,03,30,14
39.9493293762207,-75.19111633300781,03 30,03 30 driving,driving,03,30,15
39.94926834106445,-75.19107818603516,03 30,03 30 driving,driving,03,30,16
39.95200729370117,-75.20560455322266,04 30,04 30 driving,driving,04,30,1
