lat,lon,loc_pair,route,type,intersection,centroid,ord,lat2,lon2,dist
39.951637268066406,-75.18254089355469,17 05,17 05 driving,driving,17,05,6,39.951759338378906,-75.18364715576172,0.05919817637413274
39.951759338378906,-75.18364715576172,17 05,17 05 driving,driving,17,05,7,39.951988220214844,-75.18541717529297,0.09507502486666357
39.951988220214844,-75.18541717529297,17 05,17 05 driving,driving,17,05,8,39.952369689941406,-75.18846130371094,0.1633742071535156
39.952369689941406,-75.18846130371094,17 05,17 05 driving,driving,17,05,9,39.952510833740234,-75.189544677734375,0.058204141730009464
39.952510833740234,-75.189544677734375,17 05,17 05 driving,driving,17,05,10,39.95256042480469,-75.1900405883789,0.026488617130965113
39.95256042480469,-75.1900405883789,17 05,17 05 driving,driving,17,05,11,39.95370864868164,-75.1897964477539,0.08038151191001547
39.95370864868164,-75.1897964477539,17 05,17 05 driving,driving,17,05,12,39.954830169677734,-75.1895980834961,0.07819859391932871
39.954830169677734,-75.1895980834961,17 05,17 05 driving,driving,17,05,13,39.955078125,-75.1916275024414,0.108841825223773
39.955078125,-75.1916275024414,17 05,17 05 driving,driving,17,05,14,39.954097747802734,-75.19184112548828,0.068675939744714
39.954097747802734,-75.19184112548828,17 05,17 05 driving,driving,17,05,15,39.95356750488281,-75.19194793701172,0.03707045353898905
39.95356750488281,-75.19194793701172,17 05,17 05 driving,driving,17,05,16,39.953857421875,-75.19422912597656,0.12247111580555109
39.953857421875,-75.19422912597656,17 05,17 05 driving,driving,17,05,17,39.95351791381836,-75.19429779052734,0.02373798175739223
39.95351791381836,-75.19429779052734,17 05,17 05 driving,driving,17,05,18,39.95351791381836,-75.19429779052734,0
39.95642852783203,-75.1893310546875,18 05,18 05 driving,driving,18,05,1,39.957427978515625,-75.189117431640625,0.06997605689748324
39.957427978515625,-75.189117431640625,18 05,18 05 driving,driving,18,05,2,39.95760726928711,-75.18907928466797,0.012551461171755025
39.95760726928711,-75.18907928466797,18 05,18 05 driving,driving,18,05,3,39.95766067504883,-75.18946838378906,0.02093499007996761
39.95766067504883,-75.18946838378906,18 05,18 05 driving,driving,18,05,4,39.957679748535156,-75.18975067138672,0.015008304868905548
39.957679748535156,-75.18975067138672,18 05,18 05 driving,driving,18,05,5,39.95777893066406,-75.19050598144531,0.04058494809989423
39.95777893066406,-75.19050598144531,18 05,18 05 driving,driving,18,05,6,39.957847595214844,-75.1910400390625,0.028679484658349814
39.957847595214844,-75.1910400390625,18 05,18 05 driving,driving,18,05,7,39.95724868774414,-75.19115447998047,0.04182202480264676
39.95724868774414,-75.19115447998047,18 05,18 05 driving,driving,18,05,8,39.956607818603516,-75.1913070678711,0.045011189615824815
39.956607818603516,-75.1913070678711,18 05,18 05 driving,driving,18,05,9,39.95595932006836,-75.1914291381836,0.04527094223184219
39.95595932006836,-75.1914291381836,18 05,18 05 driving,driving,18,05,10,39.95534896850586,-75.1915512084961,0.04266392605861602
39.95534896850586,-75.1915512084961,18 05,18 05 driving,driving,18,05,11,39.955078125,-75.1916275024414,0.019144768427773007
39.955078125,-75.1916275024414,18 05,18 05 driving,driving,18,05,12,39.95446014404297,-75.19175720214844,0.0432474057840808
39.95446014404297,-75.19175720214844,18 05,18 05 driving,driving,18,05,13,39.95356750488281,-75.19194793701172,0.06249727062263035
39.95356750488281,-75.19194793701172,18 05,18 05 driving,driving,18,05,14,39.953857421875,-75.19422912597656,0.12247111580555109
39.953857421875,-75.19422912597656,18 05,18 05 driving,driving,18,05,15,39.95351791381836,-75.19429779052734,0.02373798175739223
